,Unnamed: 0.1,Unnamed: 0,symbol,name,curr_market_price,pe_ratio,book_value,divident,roce,roe,face_value,market_cap,about
0,0,0,20MICRONS,20 Microns Ltd,302.0,17.7,100.0,0.41,21.7,17.8,5.0,1066.0,"Incorporated in 1987, 20 Microns "
1,1,1,21STCENMGM,Twenty First Century Management Services Ltd,121.0,2.13,50.7,2.07,78.4,87.0,10.0,127.0,"Incorporated in 1986, Twentyfirst Century Management Services Ltd engaged in investments in Capital Market and Futures   "
2,2,2,3IINFOTECH,3i Infotech Limited,,,,,,,,,
3,3,3,3MINDIA,3M India Ltd,34839.0,64.1,1906.0,0.46,40.5,30.5,10.0,39176.0,"3M India is a subsidiary of 3M Company, USA. The Company manages its operations in four operating segments: Safety & Industrial , Transportation & Electronics, Health Care and Consumer. In India, the Company has manufacturing facilities at Ahmedabad, Bangalore, Pune and has a R&D Center in Bangalore.(Source : 202003 Annual Report Page No:137)"
4,4,4,3PLAND,3P Land Holdings Ltd,40.0,37.5,54.8,0.0,2.94,2.2,2.0,72.4,"Incorporated in 1965, 3P Land Holdings Ltd is engaged in the business of lending, investment activity and real estate leasing."
5,5,5,5PAISA,5Paisa Capital Ltd,553.0,28.8,173.0,0.0,13.4,10.8,10.0,1725.0,"5 paisa capital was started in 2007. It is a fintech company having presence mainly in online discounted stock broking, depository services, research, distribution of financial products, and peer-to-peer lending. "
6,6,6,63MOONS,63 Moons Technologies Ltd,404.0,11.4,726.0,0.49,6.7,6.49,2.0,1867.0,"63 Moons Techs is engaged in Computer Programming, Consultancy and related services."
7,7,7,A2ZINFRA,A2Z Infra Engineering Ltd,17.1,,1.83,0.0,-20.0,-132.0,10.0,304.0,"Incorporated in 2002, A2Z Infra Engineering Ltd provides maintenance and engineering services"
8,8,8,AARTIDRUGS,Aarti Drugs Ltd,525.0,30.8,139.0,0.19,15.0,13.9,10.0,4822.0,"Established in the year 1984 and a part of $1000 million Aarti Group of Industries, Aarti Drugs Ltd. (ADL) is engaged into manufacturing and selling Active Pharmaceutical Ingredients (API's), Pharma Intermediates, Specialty Chemicals as well as Formulations. "
9,9,9,AARTIIND,Aarti Industries Ltd,574.0,43.0,146.0,0.17,7.47,8.22,5.0,20788.0,"Aarti Industries Ltd, the flagship company of the Aarti group, manufacturing organic and inorganic chemicals at its major facilities in Vapi, Jhagadia, Dahej and Kutch, in Gujarat and in Tarapur in Maharashtra. The company has a strong market position in the NCB-based specialty chemicals segment."
10,10,10,AARVEEDEN,Aarvee Denims & Exports Ltd,47.5,,98.5,0.0,-0.11,-15.9,10.0,108.0,"Incorporated in 1988, Aarvee Denims and Exports Ltd manufactures and sells denim and non denim Fabrics"
11,11,11,AAVAS,AAVAS Financiers Ltd,1863.0,30.1,477.0,0.0,9.91,13.9,10.0,14746.0,"Incorporated in 2011, Aavas Financiers Ltd provides housing loans & advances"
12,12,12,ABAN,Aban Offshore Ltd,73.4,,-4090.0,0.0,,,2.0,427.0,"Incorporated in 1986, Aban Offshore is in the business of offshore drilling services"
13,13,13,ABB,ABB India Ltd,7696.0,1166.0,197.0,0.31,9.77,5.45,2.0,163080.0,"ABB India Limited is an integrated power equipment manufacturer supplying the complete range of engineering, products, solutions and services in areas of Automation and Power technology. "
14,14,14,ABBOTINDIA,Abbott India Ltd,,,,,,,,,Abbott India Ltd is one of the leading multinational pharmaceutical companies in India and sells its products through independent distributors primarily within India.
15,15,15,ABCAPITAL,Aditya Birla Capital Ltd,228.0,17.3,103.0,0.0,9.95,14.2,10.0,59507.0,"Aditya Birla Capital Limited, the holding company for the financial services businesses of the Aditya Birla Group, is a universal financial solutions group catering to the diverse financial needs of its customers across their life stages."
16,16,16,ABFRL,Aditya Birla Fashion & Retail Ltd,328.0,,39.7,0.0,0.25,-20.2,10.0,35158.0,Aditya Birla Fashion and Retail Ltd. (ABFRL) emerged after the consolidation of the branded apparel businesses of Aditya Birla Group comprising ABNL's Madura Fashion division and ABNL's subsidiaries Pantaloons Fashion and Retail (PFRL) and Madura Fashion & Lifestyle (MFL) in 2015.
17,17,17,ABMINTLTD,ABM International Limited,,,,,,,,,
18,18,18,ACC,ACC Ltd,2443.0,22.7,870.0,0.31,17.3,14.2,10.0,45872.0,"ACC Limited (incorporated in 1936), a member of the Adani Group, is principally engaged in the business of manufacturing and selling of Cement and Ready Mix Concrete.  The Company has manufacturing facilities across India and caters mainly to the domestic market."
19,19,19,ACCELYA,Accelya Solutions India Ltd,1780.0,22.7,190.0,1.4,57.1,42.2,10.0,2652.0,Accelya Kale Solutions Is a Software solutions provider to the global Airline and Travel Industry.
20,20,20,ACE,Action Construction Equipment Ltd,1398.0,48.3,103.0,0.14,42.3,30.6,2.0,16657.0,"Action Construction Equipment Ltd is engaged in the business of manufacturing and marketing of hydraulic mobile cranes, mobile tower cranes, material handling equipment like forklifts, road construction equipment like backhoe loaders, compactors, motor graders and agriculture equipment like tractors, harvesters, rotavators, etc. "
21,21,21,ADANIENT,Adani Enterprises Ltd,3008.0,82.6,343.0,0.04,9.87,9.73,1.0,343063.0,"Adani Enterprises Ltd has business interests in various economic areas such as mining, integrated resources management (IRM), infrastructure such as airports, roads, rail/ metro, water, data centres, solar manufacturing, agro and defence."
22,22,22,ADANIGAS,Adani Gas Limited,,,,,,,,,
23,23,23,ADANIGREEN,Adani Green Energy Ltd,2004.0,236.0,47.3,0.0,9.81,17.1,10.0,317570.0,"Adani Green Energy Limited, incorporated in 2015, is a holding company of several subsidiaries carrying business of renewable power generation within the group and is primarily involved in renewable power generation and other ancillary activities. "
24,24,24,ADANIPORTS,Adani Ports & Special Economic Zone Ltd,1439.0,31.2,244.0,0.42,12.9,18.1,2.0,310823.0,"Adani Ports & Special Economic Zone is in the business of development, operations and maintenance of port infrastructure (port services and related infrastructure development) and has linked multi product Special Economic Zone (SEZ) and related infrastructure contiguous to Port at Mundra."
25,25,25,ADANIPOWER,Adani Power Ltd,665.0,16.0,112.0,0.0,32.2,57.1,10.0,256465.0,"Adani Power (APL), a part of the diversified Adani Group, is the largest private thermal power producer in India. The co along with its subsidiaries sell power generated from these projects under a combination of long term Power Purchase Agreements, Short term PPA and on merchant basis. "
26,26,26,ADANITRANS,Adani TransmissionLimited,,,,,,,,,
27,27,27,ADFFOODS,ADF Foods Ltd,272.0,40.6,40.2,0.44,19.5,16.3,2.0,2982.0,"ADF specializes in the production and export of a variety of traditional Indian food products, including pickles, chutneys, pastes, sauces, ready-to-eat meals, frozen, and canned foods. Its market spans Europe, the US, Australia, and the Gulf. Additionally, ADF Foods UK Limited and ADF Holding USA Limited operate as agents distributing FMCG products in the USA and UK respectively."
28,28,28,ADHUNIK,Adhunik Metaliks Ltd,0.5,,-152.0,0.0,-9.32,,10.0,6.18,"Adhunik Metaliks Limited is an alloy, special and construction steel manufacturing company. The Company is engaged in the manufacture and sale of steel, both alloy and non-alloy."
29,29,29,ADHUNIKIND,Adhunik Industries Limited,,,,,,,,,
30,30,30,ADLABS,Adlabs Entertainment Limited,,,,,,,,,
31,31,31,ADORWELD,Ador Welding Ltd,1350.0,37.2,209.0,1.37,20.0,14.8,10.0,1850.0,"Ador Welding Ltd is a  leading player in the field of Welding Products, Technologies and Services. It is also engaged in providing customized solutions for multi-disciplinary projects and contracts related to refineries, oil and gas, petrochemicals and other sectors."
32,32,32,ADROITINFO,Adroit Infotech Ltd,18.9,20.3,6.52,0.0,13.3,10.9,10.0,64.4,"Incorporated in 1990, Adroit Infotech Ltd is primarily engaged in the business of SAP Support Services. Company helps organizations to reduce costs and improve effectiveness and efficiency through internal process improvements using SAP products and solutions."
33,33,33,ADSL,Allied Digital Services Ltd,283.0,33.2,105.0,0.53,10.5,8.23,5.0,1585.0,"Incorporated in 1984, Allied Digital Services "
34,34,34,ADVANIHOTR,Advani Hotels & Resorts (India) Ltd,72.7,,2.77,2.48,-13.0,-19.9,2.0,672.0,"Incorporated in 1987, Advani Hotels and Resorts India Ltd is in the business of hoteliering"
35,35,35,ADVENZYMES,Advanced Enzyme Technologies Ltd,538.0,40.6,118.0,0.95,15.2,11.2,2.0,6024.0,Advanced Enzyme Technologies Limited is engaged in the business of manufacturing and sales of enzymes.
36,36,36,AEGISCHEM,AegisLogisticsLimited,,,,,,,,,
37,37,37,AFFLE,Affle India Ltd,1553.0,68.6,178.0,0.0,16.2,15.0,2.0,21806.0,"Incorporated in 1994, Affle is a global technology company with a proprietary consumer intelligence platform that transforms ads into recommendations helping marketers to effectively identify, engage, acquire and drive transactions with their potential and existing users"
38,38,38,AGARIND,Agarwal Industrial Corporation Ltd,1129.0,14.0,342.0,0.27,20.4,23.6,10.0,1687.0,"Agarwal Industrial Corporation Ltd is primarily engaged in the business activities of manufacturing and trading of Petrochemicals (Bitumen and Bituminous Products), logistics of bitumen and liquefied Petroleum Gas and energy generation through Wind Mills."
39,39,39,AGCNET,AGC Networks Limited,,,,,,,,,
40,40,40,AGRITECH,Agri-Tech (India) Ltd,222.0,,174.0,0.0,0.27,-0.36,10.0,132.0,"Agri-Tech (India) is engaged in the business of corporate farming. The major farms are situated in various villages in Aurangabad (MS). Company is into production of horticulture crops, basically mangoes."
41,41,41,AGROPHOS,Agro Phos India Ltd,42.8,,23.8,0.0,,,10.0,86.8,"Incorporated in 2002, Agro Phos India Ltd trades fertilizers and commodities"
42,42,42,AHLEAST,Asian Hotels (East) Ltd,139.0,10.8,133.0,1.8,14.3,11.8,10.0,241.0,"Incorporated in 2007, Asian Hotels (East)"
43,43,43,AHLUCONT,Ahluwalia Contracts (India) Ltd,1223.0,38.2,239.0,0.04,23.8,16.4,2.0,8190.0,"Company is engaged in engineering and contract construction, delivering state of-the-art infrastructure and buildings projects for clients in India."
44,44,44,AHLWEST,Asian Hotels (West) Ltd,144.0,,-133.0,0.0,-2.93,,10.0,168.0,"AHWL operates a 401-room five-star hotel in Mumbai and has partnered with Hyatt Hotels India for branding, operating, and marketing the hotel under the Hyatt Regency brand."
45,45,45,AIAENG,AIA Engineering Ltd,4295.0,36.0,706.0,0.37,22.7,18.3,2.0,40462.0,"AIA manufactures high-chrome grinding media, liners and diaphragms, collectively known as mill internals. These are used for crushing and grinding operations in the cement, power utility & aggregates and mining industries. "
46,46,46,AIONJSW,Monnet Ispat & Energy Limited,,,,,,,,,
47,47,47,AIRAN,Airan Ltd,39.0,14.9,10.1,0.0,13.1,10.5,2.0,483.0,"Incorporated in 1995, Airan Ltd provides consulting, technology, outsourcing, and "
48,48,48,AJANTPHARM,Ajanta Pharma Ltd,3132.0,45.7,283.0,1.15,31.6,23.2,2.0,39042.0,"Ajanta Pharma is primarily engaged in development, manufacturing and marketing of speciality pharmaceutical quality finished dosages.(Source : 202003-01 Annual Report Page No:70)."
49,49,49,AJMERA,Ajmera Realty & Infra India Ltd,696.0,21.9,244.0,0.58,11.7,12.5,10.0,2465.0,"Incorporated in 1985, Ajmera Realty and Infra Limited (ARIIL) is in the business of providing residential and rented commercial properties. The company has a presence in the cities like Mumbai, Bengaluru, Ahmedabad in India as well as in foreign countries such as Bahrain and UK "
50,50,50,AKASH,Akash Infraprojects Ltd,37.0,34.6,49.7,0.0,2.97,0.27,10.0,62.4,"Incorporated in 1999, Akash Infra-Projects "
51,51,51,AKSHARCHEM,AksharChem (India) Ltd,336.0,11.8,116.0,0.15,26.9,20.6,10.0,269.0,"Incorporated in 1989, Aksharchem (India) Ltd manufactures & exports Dyes Pigments and Precipitated Silica"
52,52,52,AKSHOPTFBR,Aksh Optifibre Ltd,8.32,,2.49,0.0,-33.3,-136.0,5.0,135.0,"Incorporated in 1986, Aksh Optifibre Ltd does manufacturing and selling of Optical Fibre, Optical Fibre Cable, Fibre Reinforced Plastic Rods, Impregnated Glass Roving Reinforcement and ophthalmic lens. It also provides E Governance and FTTH services"
53,53,53,AKZOINDIA,Akzo Nobel India Ltd,3707.0,39.1,292.0,2.02,42.3,32.3,10.0,16876.0,"Akzo Nobel India is engaged in the Business of Manufacture of paints and varnishes, enamels or lacquers. Its main brand is Dulux paints"
54,54,54,ALANKIT,Alankit Ltd,25.9,29.2,10.2,0.0,10.7,9.47,1.0,704.0,"Incorporated in 1989, Alankit Ltd is in "
55,55,55,ALBERTDAVD,Albert David Ltd,,,,,,,,,"Incorporated in 1938, Albert David "
56,56,56,ALBK,Allahabad Bank(Merged),7.6,,77.7,0.0,1.18,-59.5,10.0,3441.0,"Allahabad Bank is a banking company. The Company's principal products/services are debenture/ security trusteeship fees and custodian fees. It operates through four business segments: Treasury Operations, Corporate/ wholesale Banking, Retail Banking and Other Banking business. It offers personal banking; social banking; micro, small and medium enterprises banking; retail credit products; corporate banking, and international banking.(Source : Company Web-Site)"
57,57,57,ALCHEM,Alchemist Ltd,3.01,,-283.0,0.0,-9.7,,10.0,4.08,Alchemist is engaged in the business of Agriculture and allied activities comprising of floriculture and manufacturing of wire mesh for poultry industry and trading of chemicals and pharmaceutical formulations.
58,58,58,ALEMBICLTD,Alembic Ltd,143.0,13.1,85.1,1.68,4.81,12.6,2.0,3668.0,"Alembic Limited is engaged in the businesses of Pharmaceuticals, Real Estate, and Power Assets. The company was started in 1907 as the flagship company of the Alembic Group. In 2010, the company demerged its core pharmaceutical business (formulations) into a wholly-owned subsidiary, Alembic Pharma Ltd and after the demerger, APL became the flagship company of the Alembic Group."
59,59,59,ALICON,Alicon Castalloy Ltd,1373.0,31.5,345.0,0.55,14.5,11.8,5.0,2229.0,"Alicon Castalloy manufactures aluminium castings including cylinder heads, support brackets, intake manifolds, crankshafts, and engine brackets for the auto industry. It has a presence in 18 countries and is a part of Alicon Group."
60,60,60,ALKALI,Alkali Metals Ltd,,,,,,,,,"Incorporated in 1968, Alkali Metals Limited manufactures variety of products ranging from sodium derivatives, pyridine derivatives, fine chemicals and pharmaceutical APIs, etc."
61,61,61,ALKEM,Alkem Laboratories Ltd,6087.0,34.0,862.0,0.66,19.7,19.6,2.0,72759.0,"Alkem Laboratories is engaged in pharmaceutical business with global operations. The Company is engaged in the development, manufacture and sale of pharmaceutical and nutraceutical products.(Source : 202003-01 Annual Report Page No:107)"
62,62,62,ALKYLAMINE,Alkyl Amines Chemicals Ltd,2396.0,64.6,105.0,0.42,41.3,41.4,2.0,12259.0,"Incorporated in 1979 by Mr Yogesh Kothari, Alkyl Amines is a leading manufacturer of aliphatic amines in India. Aliphatic amines are products derived from Ammonia (NH3) by displacement of H2 in the Ammonia molecule by other radicals (R) such as Methyl, Ethyl and Propyl."
63,63,63,ALLCARGO,Allcargo Logistics Ltd,65.6,269.0,25.7,1.52,3.32,4.94,2.0,6441.0,"Incorporated in 1993, Allcargo Logistics provides integrated logistics solutions and offers specialized logistics services across multimodal transport operations, inland container depot, container freight station operations, contract logistics operations and project and engineering solutions"
64,64,64,ALLSEC,Allsec Technologies Ltd,1121.0,25.6,161.0,4.01,30.5,26.0,10.0,1703.0,"Incorporated in 1998, Allsec Tech is a global leader in outsourcing solutions offering future-ready, resilient business transformation services to industry heavy-weights, Fortune 100 companies, and growth-focused organizations. The services provided by the Company include data verification, processing of orders received through telephone calls, telemarketing, monitoring quality of calls of other call centers, customer services and HR and payroll processing. The Company has delivery centers at Chennai, Bengaluru and NCR."
65,65,65,ALMONDZ,Almondz Global Securities Ltd,30.8,24.8,13.7,0.0,9.98,8.74,1.0,521.0,"Incorporated in 1994, Almondz Global Securities Ltd provides financial advisory and consultancy services"
66,66,66,ALOKTEXT,Alok IndustriesLimited,,,,,,,,,
67,67,67,ALPA,Alpa Laboratories Ltd,113.0,12.5,72.2,0.0,14.3,11.7,10.0,237.0,"Incorporated in 1988, Alpa Laboratories Ltd manufactures and sells Drugs and Chemicals"
68,68,68,ALPHAGEO,Alphageo (India) Ltd,415.0,23.0,438.0,1.93,4.25,0.61,10.0,264.0,"Incorporated in 1987, Alphageo Ltd"
69,69,69,ALPSINDUS,Alps Industries Ltd,3.57,,-212.0,0.0,,,10.0,13.9,Alps Industries is engaged in the business of Textile business.
70,70,70,AMARAJABAT,Amara Raja BatteriesLimited,,,,,,,,,
71,71,71,AMBER,Amber Enterprises India Ltd,4348.0,91.2,613.0,0.0,10.2,6.74,10.0,14681.0,"Amber Enterprises India Ltd incorporated in 1956, has a 23.6% share in the total Room Air Conditioner market "
72,72,72,AMBIKCO,Ambika Cotton Mills Ltd,,,,,,,,,"Incorporated in 1988, Ambika Cotton Mills Ltd manufactures and sells speciality cotton yarn"
73,73,73,AMBUJACEM,Ambuja Cements Ltd,617.0,47.7,176.0,0.32,14.0,10.3,2.0,151714.0,"Ambuja Cements Ltd. is among the leading cement companies in India. It is a member of the Adani Group. Currently, Ambuja Cement has a cement capacity of 31 million tonnes with six integrated cement manufacturing plants and eight cement grinding units across the country."
74,74,74,AMDIND,AMD Industries Ltd,73.6,24.8,54.5,0.0,10.1,5.52,10.0,141.0,"Incorporated in 1958, AMD Industries Ltd manufactures Crown Caps, CSD Closures, Pet Preforms, Jars, and Bottles, etc. for various edible items packed in glass & Plastic bottles"
75,75,75,AMJLAND,AMJ Land Holdings Ltd,49.8,16.3,43.6,0.4,7.98,5.88,2.0,206.0,"Incorporated in 1964, AMJ Land Holdings Ltd "
76,76,76,AMRUTANJAN,Amrutanjan Health Care Ltd,802.0,114.0,37.2,0.57,31.4,20.0,1.0,2316.0,"AHCL has been manufacturing ayurvedic balm for pain management since 1893, and is currently managed by the third-generation of promoters. The company is more than 120 years old and is into OTC products in the segments of pain management, women's hygiene, and packaged fruit juice drink.  "
77,77,77,ANANTRAJ,Anant Raj Ltd,723.0,82.3,107.0,0.1,8.56,8.05,2.0,24752.0,"Anant Raj Ltd was incorporated in 1985 as Anant Raj Clay Products by Ashok Sarin. It is primarily engaged in the development and construction of IT parks, hospitality projects, SEZs, office complexes, shopping malls and residential projects in the State of Delhi, Haryana, Andhra Pradesh, Rajasthan and NCR. "
78,78,78,ANDHRABANK,Andhra Bank(Merged),9.1,,40.2,0.0,4.81,-10.3,10.0,2817.0,"Andhra Bank operates through four segments: Treasury Operations, Corporate/Wholesale Banking, Retail Banking and Other Banking Operations. The Bank offers various products and services, which include deposits and accounts, loans, credit cards, debit cards, travel cards, online payment services, mutual funds and insurance."
79,79,79,ANDHRACEMT,Andhra Cements Limited,,,,,,,,,
80,80,80,ANDHRSUGAR,Andhra Sugars Ltd,110.0,21.1,117.0,0.91,5.73,5.06,2.0,1497.0,"Incorporated in 1947, Andhra Sugars Limited is a manufacturer of Sugar, Industrial Alcohol, Chlor Alkali Products, Aspirin, Sulphuric Acid, Liquid & Solid Propellants. It also generates power for captive use "
81,81,81,ANIKINDS,Anik Industries Ltd,82.6,,138.0,0.0,2.8,0.15,10.0,225.0,"Anik Industries Ltd is primarily engaged in the business of trading of Agri- Commodities, Edible oil & Vanaspati, Property Development, Windpower Generation & others. "
82,82,82,ANKITMETAL,Ankit Metal & Power Ltd,3.61,,25.3,0.0,,,10.0,50.9,"Ankit Metal & Power Limited, incorporated in 2002, is engaged in manufacturing of Iron Ore Pellets, Sponge Iron, MS Billets, Re- Rolled products with a Captive Power Plant (CPP)."
83,83,83,ANSALAPI,Ansal Properties & Infrastructure Ltd,14.8,,-41.7,0.0,,,5.0,234.0,"Ansal Properties and Infrastructure Ltd. is engaged in the business of real estate development in residential, commercial and retail segments. "
84,84,84,ANSALHSG,Ansal Housing Ltd,23.3,19.9,17.4,0.0,12.6,2.84,10.0,162.0,"Incorporated in 1983, Ansal Housing designs "
85,85,85,ANTGRAPHIC,Antarctica Ltd,,,,,,,,,"Incorporated in 1994, Antarctica Limited is into printing business as well as a Paper-based Packaging & Publishing product manufacturer."
86,86,86,ANUP,The Anup Engineering Ltd,2227.0,86.2,233.0,0.67,16.8,12.4,10.0,4439.0,The Anup Engineering Limited demerged from its holding company Arvind Limited in 2018. 
87,87,87,APARINDS,Apar Industries Ltd,9418.0,45.6,965.0,0.54,44.0,26.8,10.0,37850.0,"Apar, founded by Mr. Dharmsinh D. Desai in 1958, is a market leader in India with a global presence. Contributing to India’s process of electrification it started from manufacturing power transmission cables to having three broad business segments, which are Conductors, Transformer and specialty oils (TSO), and Power/telecom Cables. "
88,88,88,APCL,Anjani Portland Cement Ltd,172.0,,100.0,0.0,-2.44,-12.5,10.0,506.0,"Incorporated in 1983, Anjani Portland Cement Ltd manufactures high quality premium cement"
89,89,89,APCOTEXIND,Apcotex Industries Ltd,438.0,60.8,38.2,1.25,19.8,24.4,2.0,2280.0,"Apcotex Industries Ltd is a leading producer of Synthetic Rubber (Nitrile Rubber, High Styrene Rubber, Nitrile Polyblends and Nitrile Powder) and Synthetic Latex (XSB Latex, VP Latex, Styrene Acrylics, and Nitrile Latex) in India."
90,90,90,APEX,Apex Frozen Foods Ltd,,,,,,,,,Apex Frozen Foods is an integrated producer and exporter of shelf stable quality aquaculture products.
91,91,91,APLAPOLLO,APL Apollo Tubes Ltd,1440.0,54.6,130.0,0.38,25.2,22.0,2.0,39952.0,"APL Apollo Tubes Limited (APL Apollo) is one of India’s leading branded steel products manufacturers. Headquartered at Delhi NCR, the Company runs 10 manufacturing facilities churning out over 1,500 varieties of MS Black Pipes, Galvanised Tubes, Pre-Galvanised Tubes, Structural ERW Steel Tubes and Hollow Sections to serve industry applications like urban infrastructures, housing, irrigation, solar plants, greenhouses and engineering. "
92,92,92,APLLTD,Alembic Pharmaceuticals Ltd,1115.0,34.8,245.0,0.99,13.1,13.3,2.0,21898.0,"Alembic Pharmaceuticals is in the business of development, manufacturing, and marketing of Pharmaceuticals products i.e. Formulations and Active Pharmaceutical Ingredients."
93,93,93,APOLLO,Apollo Micro Systems Ltd,107.0,86.7,18.0,0.05,12.4,7.36,1.0,3285.0,"Apollo Micro Systems Ltd is a pioneer in design, development, assembly and testing of electronic and electro mechanical solutions."
94,94,94,APOLLOHOSP,Apollo Hospitals Enterprise Ltd,7083.0,98.2,482.0,0.23,15.6,13.7,5.0,101728.0,"Apollo Hospitals was established in 1983 by Dr. Prathap C Reddy, renowned architect of modern healthcare in India. As the nation’s first corporate hospital, Apollo Hospitals is acclaimed for pioneering the private healthcare revolution in the country."
95,95,95,APOLLOPIPE,Apollo Pipes Ltd,600.0,58.4,129.0,0.17,,,10.0,2481.0,"Apollo Pipes is engaged in manufacturing and trading of cPVC, uPVC, and HDPE pipes, PVC taps, fittings, water storage tank and solvent etc. It is among the top 10 leading piping solution providing Company in India. The products cater to an array of industrial applications such as Agriculture, Water Management, Construction,Infrastructure,and Telecom ducting segments."
96,96,96,APOLLOTYRE,Apollo Tyres Ltd,516.0,19.3,219.0,1.16,16.4,13.2,1.0,32736.0,"Apollo, established in 1972, manufactures automatic bias and radial tyres, and tubes. It has plants in Kochi, Vadodara, Pune, and Chennai. The product profile includes prominent tyre brands in the T&B, light truck, passenger car, and farm vehicle segments in India, catering to both original equipment manufacturers, and the replacement market. "
97,97,97,APOLSINHOT,Apollo Sindoori Hotels Ltd,1612.0,48.0,520.0,0.12,11.7,8.8,5.0,419.0,"
Apollo Sindoori Hotels Ltd is engaged in the business of managing food outlets at hospitals and reputed organisations. The Company also undertakes Outdoor Catering Services, Skilled manpower to hospitals etc."
98,98,98,APTECHT,Aptech Ltd,219.0,44.2,44.8,2.06,18.6,13.1,10.0,1269.0,Aptech Ltd. is a pioneer in the non-formal education and training business in the country with a significant global presence.
99,99,99,ARCHIDPLY,Archidply Industries Ltd,133.0,116.0,56.1,0.0,8.85,6.59,10.0,264.0,"Incorporated in 1976, Archidply Industries "
100,100,100,ARCHIES,Archies Ltd,29.7,12.2,23.6,0.0,16.1,11.1,2.0,101.0,"Incorporated in 1990, Archies Ltd is a retailer  of greeting cards, gifts and stationery items"
101,101,101,ARCOTECH,Arcotech Ltd,,,,,,,,,Arcotech is principally engaged in the business of manufacturing non-ferrous semis.
102,102,102,ARENTERP,Rajdarshan Industries Ltd,48.7,13.9,69.0,0.0,4.26,3.41,10.0,14.4,"Incorporated in 1980, Rajdarshan Industries Ltd is engaged in mining of raw materials and drilling & transportation of limestone."
103,103,103,ARIES,Aries Agro Ltd,265.0,15.9,200.0,0.38,14.8,7.31,10.0,344.0,"Incorporated in 1969, Aries Agro Ltd offers products in the primary, secondary and microfertilizer sector, ranging from individual elements to mixed specialty plant nutrient fertilizers"
104,104,104,ARIHANT,Arihant Foundations & Housing Ltd,443.0,18.5,223.0,0.23,10.8,7.29,10.0,381.0,"Incorporated in 1992, Arihant Foundations & Housing is engaged in the real estate development including construction of residential, commercial complexes and IT parks."
105,105,105,ARIHANTSUP,Arihant Superstructures Ltd,352.0,28.5,62.6,0.34,16.4,29.6,10.0,1453.0,"Incorporated in 1994, Arihant Superstructures Ltd is in the business of real estate "
106,106,106,ARMANFIN,Arman Financial Services Ltd,1824.0,11.6,776.0,0.0,21.9,29.5,10.0,1908.0,Arman Financial Service Ltd is an RBI-registered category ‘A’ Non-Banking Finance Company. They provide loans to the unorganized sector residing in rural and semi-rural locales across six states with around 400 branches that cater to about 7.6 lakh customers.
107,107,107,AROGRANITE,Aro Granite Industries Ltd,,,,,,,,,"Incorporated in 1988, ARO Granite Industries Ltd manufactures and trades Granite Slabs and Tiles"
108,108,108,ARROWGREEN,Arrow Greentech Ltd,832.0,31.4,84.1,0.24,35.3,26.1,10.0,1259.0,"Incorporated in 1982, Arrow Greentech "
109,109,109,ARROWTEX,Arrow Textiles Ltd(Merged),,,,,,,,,"Arrow Textiles is engaged in manufacturing of textile woven labels, fabric printed labels and elastic / woven tape."
110,110,110,ARSHIYA,Arshiya Ltd,4.6,,0.1,0.0,-2.49,-104.0,2.0,121.0,"Incorporated in 1981, Arshiya Ltd is in the business of inter modal logistics"
111,111,111,ARSSINFRA,ARSS Infrastructure Projects Ltd,18.7,,-71.1,0.0,-2.3,,10.0,40.6,"Incorporated in 2000, ARSS Infrastructure Projects Ltd is in the business of project execution for various civil and infrastructure projects"
112,112,112,ARVIND,Arvind Ltd,400.0,33.9,135.0,0.94,13.1,9.73,10.0,10481.0,"Arvind Limited (‘the Company’) is one of India’s leading vertically integrated textile company with the presence of almost eight decades in this industry. It is among the largest denim manufacturers in the world. It also manufactures a range of cotton shirting, denim, knits and bottom weights (Khakis) fabrics and Jeans and Shirts Garments. "
113,113,113,ARVINDFASN,Arvind Fashions Ltd,588.0,97.9,75.5,0.21,14.0,8.8,4.0,7832.0,"Arvind Fashions Ltd operates in the branded apparels, beauty and footwear space. It has a portfolio of several owned and licensed global brands across different segments. "
114,114,114,ARVSMART,Arvind SmartSpaces Ltd,735.0,92.0,109.0,0.34,15.9,7.87,10.0,3354.0,"Arvind Smarspaces Ltd was incorporated as ""Arvind Infrastructure Limited"" in 2008 in Ahmedabad as a wholly-owned subsidiary of Arvind Limited. The company was incorporated with the objective of doing a real estate/infrastructure development business. "
115,115,115,ASAHIINDIA,Asahi India Glass Ltd,778.0,63.2,96.8,0.26,15.0,14.7,1.0,18892.0,"Asahi India Glass Ltd. (AIS) is India’s leading value-added and integrated glass solutions company and a dominant player both in the automotive and architectural glass segments. Established in 1984, It was formed as a Joint Venture between The Labroo Family, Asahi Glass Co. of Japan and Maruti Udyog Ltd (now Maruti Suzuki India Ltd)."
116,116,116,ASAHISONG,Asahi Songwon Colors Ltd,489.0,133.0,200.0,0.1,1.08,-2.97,10.0,573.0,"Incorporated in 1990, Asahi Songwon Colors is one of the leading manufacturers of blue (Phthalocyanine) pigments for ink, plastics, paint, textile and paper industry with globally benchmarked manufacturing capabilities. The company has ventured into manufacturing of yellow, red and orange (AZO) pigments and APIs."
